title,linkImg,shortDescription,articleLink,content
"Diincar Al Ahli, Mahrez Setia Man City",https://akcdn.detik.net.id/community/media/visual/2023/06/17/riyad-mahrez_43.jpeg?w=250&q=,"Riyad Mahrez diisukan akan meninggalkan Manchester City musim panas ini. Tapi, Mahrez menegaskan masa depannya ada di klub itu.",https://sport.detik.com/sepakbola/liga-inggris/d-6778273/diincar-al-ahli-mahrez-setia-man-city,"
Douala - Riyad Mahrez diisukan akan meninggalkan Manchester City musim panas ini. Tapi, Mahrez menegaskan masa depannya ada di klub itu.Mahrez baru saja melalui musim 2022/2023 yang gemilang saat membantu City meraih treble. Dia bikin 15 gol dan 13 assist dari 47 penampilan.Ini menunjukkan kalau Mahrez tetap penting untuk City sekalipun harus dirotasi setiap pekannya oleh manajer Pep Guardiola. Tapi, melihat usia Mahrez yang sudah menginjak 32 tahun, Mahrez tentu butuh kepastian soal statusnya.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Dengan kontrak menyisakan dua tahun, Mahrez bisa saja dijual City dengan harga tinggi demi menambah pemasukan klub untuk mendatangkan pemain buruan lainnya.Baca juga: Klub Arab Saudi Incar Riyad Mahrez, Man City Buka PintuAdalah klub Arab Saudi Al Ahli yang berencana merekrut Mahrez dan siap memberikannya gaji tinggi, melebihi dari apa yang didapat di City sekitar 6,2 juta paun per musim. Al Ahli butuh sosok Mahrez agar bisa bersaing di Liga Arab Saudi musim depan, setelah promosi dari divisi dua.Eksodus para pemain top ke Liga Arab Saudi boleh jadi bisa membuat Mahrez tertarik dan mengikuti jejak Cristiano Ronaldo dkk. Tapi, Mahrez rupanya belum tertarik untuk meninggalkan City.Dia memastikan akan setia berseragam Citizens hingga kontraknya habis 2025.""Saya masih punya sisa kontrak dua tahun di Manchester. Sejauh ini belum ada tawaran apapun. Saya fokus ke dua laga bersama Aljazair sebelum liburan,"" ujar Riyad Mahrez seperti dikutip Manchester Evening News.Baca juga: Rumor Transfer Manchester City: 5 Keluar, 3 Masuk Simak Video ""Manchester City Tekuk Chelsea 1-0 di Etihad Stadium""
[Gambas:Video 20detik]
(mrp/ran)


riyad mahrez manchester city al ahli liga inggris 2022/2023 liga inggris liga arab saudi 

"
Rumor Transfer: Bayern Munich Kejar Kyle Walker,https://akcdn.detik.net.id/community/media/visual/2023/03/08/kyle-walker_43.jpeg?w=250&q=,Bayern Munich dilaporkan mendekati Manchester City untuk peluang transfer Kyle Walker. Ada kans cukup besar Walker mempertimbangkan pindah.,https://sport.detik.com/sepakbola/liga-jerman/d-6777423/rumor-transfer-bayern-munich-kejar-kyle-walker,"
Munich - Bayern Munich dilaporkan mendekati Manchester City untuk peluang transfer Kyle Walker. Ada kans cukup besar Walker mempertimbangkan pindah.Minat Bayern terhadap Walker kabarnya dilandasi permintaan sang pelatih, Thomas Tuchel. Peluang untuk memboyong bek 33 tahun itu terbuka cukup lebar karena kontrakya hanya tersisa setahun.Baca juga: Dikaitkan dengan MU, Yann Sommer Beri TanggapanMusim panas ini jadi kesempatan terakhir Manchester City untuk menjualnya dengan harga yang cukup bagus. Posisi tawar mereka tak terlalu kuat, apalagi Walker mempertanyakan kesempatan bermainnya.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Ia musim lalu sempat digusur dari posisi utama oleh Manajer Pep Guardiola. Termasuk saat dicadangkan di final Liga Champions kontra Inter Milan dan baru dimainkan di delapan menit terakhir.Baca juga: Bukan Lagi MU, Bayern Kini Terdepan dalam Perburuan Kim Min-jaePersoalan waktu bermain inilah yang akan menjadi pertimbangan Walker. Ia ingin mendapatkan jaminan menatap Piala Eropa 2024 di Jerman.Bayern Munich sendiri sedang butuh tambahan pemain di sektor bek sayap. Sebelumnya mereka memutuskan tak mempermanenkan peminjaman pemain Man City Joao Cancelo, yang dipatok harga 70 juta Euro.Kesepakatan diyakini belum akan terjalin dalam waktu dekat. Namun kedua klub mengeksplorasi kesempatan tersebut.Walker sudah enam musim memperkuat Manchester City. Ia memenangi 14 trofi, termasuk lima gelar Liga Inggris dan satu titel Liga Champions.Baca juga: Kimmich Jawab Rumor soal Barcelona Simak Video ""Pesta Gol Manchester City di Laga Lawan Bayern Munich""
[Gambas:Video 20detik]
(raw/bay)


bayern munich manchester city kyle walker 

"
Benjamin Mendy Resmi Dilepas Man City Akhir Bulan Ini,https://akcdn.detik.net.id/community/media/visual/2023/06/17/benjamin-mendy_43.jpeg?w=250&q=,"Manchester City akan melepas Benjamin Mendy. Kontrak bek asal Prancis itu tak akan diperpanjang, menyusul statusnya yang masih berurusan dengan hukum.",https://sport.detik.com/sepakbola/gila-bola/d-6777421/benjamin-mendy-resmi-dilepas-man-city-akhir-bulan-ini,"
Manchester - Manchester City akan melepas Benjamin Mendy di musim panas ini. Kontrak bek asal Prancis itu tak akan diperpanjang, menyusul statusnya yang masih berurusan dengan hukum.Mendy sudah absen membela Man City sejak Agustus 2021 usai ditangkap karena dituduh melakukan sejumlah kasus pemerkosaan dan kekerasan seksual. Ia pun diskors sejak saat itu.Mirror melaporkan Man City telah mengonfirmasi bahwa Mendy itu akan berstatus bebas transfer. Ia kini fokus menghadapi sidang kasusnya.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Benjamin Mendy Dinyatakan Tidak Bersalah, Begini Respons Man CityMendy akan menjalani sidang pada tanggal 26 Juni mendatang di Pengadilan Chester. Ia menghadapi tuntutan satu kasus dugaan pemerkosaan dan satu kasus percobaan pemerkosaan.Sebelumnya, Mendy juga dijerat dengan enam kasus pemerkosaan dan satu kasus kekerasan seksual, namun pada Januari lalu telah dinyatakan tak bersalah dalam tujuh kasus tersebut, membuat dirinya kini hanya 'tersangkut' dua kasus.Mendy membantah telah melakukan segala hal yang telah dituduhkan padanya dan lewat pengacaranya, menyatakan ""bertekad memulihkan nama baik terkait dua kasus yang menjeratnya agar bisa menata ulang hidupnya.""Baca juga: Benjamin Mendy Dinyatakan Tak Bersalah dalam 6 Kasus PerkosaanMendy direkrut Man City pada musim panas 2017 dari AS Monaco. Ia mencatatkan 75 penampilan bersama The Citizens dan meraih tiga gelar Premier League, dua Piala Liga Inggris, dan satu Community Shield.Ia merupakan pemain pertama yang menjadi juara Piala Dunia dengan status pemain Man City pada 2018. Torehan itu disamai Julian Alvarez di 2022. (adp/raw)


benjamin mendy manchester city 

"
Ini Tantangan Arsenal Tuntaskan Transfer Declan Rice?,https://akcdn.detik.net.id/community/media/visual/2023/06/09/declan-rice_43.jpeg?w=250&q=,Arsenal belum mendapatkan perkembangan signifikan lagi dalam transfer Declan Rice. Skema pembayaran dituding jadi tantangan mereka.,https://sport.detik.com/sepakbola/liga-inggris/d-6777384/ini-tantangan-arsenal-tuntaskan-transfer-declan-rice,"
London - Arsenal belum mendapatkan perkembangan signifikan lagi dalam transfer Declan Rice. Skema pembayaran dituding jadi tantangan mereka.Arsenal memang menjadikan Declan Rice sebagai target utama di bursa transfer musim panas ini. West Ham United selaku pemilik pemain gelandang tersebut juga sudah siap melepas.Baca juga: Arsenal Bisa Jadi Kandidat Juara Lagi kalau...Mengingat persaingan untuk mendapatkan Rice cukup ketat, dengan minat dari Manchester City dan juga Bayern Munich, Arsenal ingin bergerak cepat. Rice sendiri dilaporkan sudah memberikan lampu hijau ke The Gunners.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Dalam sejumlah laporan, klub London utara itu disebut siap memenuhi harga 100 juta paun yang diminta West Ham. Akan tetapi mantan gelandang Arsenal Ray Parlour percaya Arsenal mengupayakan pembayarannya dilakukan secara mencicil, yang bikin prosesnya tak kunjung berkembang.""Kedengarannya mereka ingin mencicil per tahun, sementara West Ham harus menggantikan Declan dan mungkin membeli dua pemain dengan uang penjualannya. Jadi di sanalah mungkin halangannya,"" kata Parlour kepada talkSPORT.Baca juga: Arsenal Siap Tebus Declan Rice Rp 1,8 T""Kalau Arsenal menginginkan pemain ini, mereka harus berusaha sekuat tenaga untuk mendapatkannya. Dia akan jadi pengganti yang sempurna buat Xhaka, yang penting selesaikan transaksinya.""""Saya yakin Edu dan Mikel bekerja sangat keras untuk menyelesaikannya. Tapi kalau Man City datang, maka adalah masalah serius, sebuah dilema dari sudut pandang Declan,"" imbuhnya.Baca juga: Declan Rice Mau ke Arsenal, Diingatkan Begini: Awas Menyesal! Simak Video ""West Ham Konfirmasi Declan Rice Akan Hengkang""
[Gambas:Video 20detik]
(raw/adp)


declan rice arsenal 

"
Kisah Ruben Dias Mabuk hingga 'Jackpot' di Pesta Man City,https://akcdn.detik.net.id/community/media/visual/2023/06/11/manchester-city-3_43.jpeg?w=250&q=,Alkohol dan minuman keras mewarnai pesta treble Manchester City. Ruben Dias ikutan mabuk hingga 'jackpot' di tas ibunya Jack Grealish. Duh!,https://sport.detik.com/sepakbola/gila-bola/d-6777422/kisah-ruben-dias-mabuk-hingga-jackpot-di-pesta-man-city,"
Manchester - Alkohol dan minuman keras mewarnai pesta treble Manchester City. Ruben Dias ikutan mabuk hingga 'jackpot' di tas ibunya Jack Grealish. Duh!Man City mengakhiri musim 2022/2023 dengan sempurna. The Sky Blues memenangkan Liga Champions di Istanbul, sekaligus melengkapi treble winners mereka.Skuad Man City merayakan gelar treble mereka dengan parade juara di Kota Manchester. Para pemain berpesta sampanye, cerutu, hingga minuman keras.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Man City Berpesta: Grealish Dugem, Haaland Isap Cerutu!Jack Grealish menjadi bintang Manchester City yang paling disorot. Winger Inggris itu terus menerus menenggak minuman keras sejak dari Istanbul hingga pulang ke Manchester.Pesta alkohol Man City bahkan sampai membuat Ruben Dias tergoda. Bek Portugal itu sesungguhnya bukan peminum macam Grealish, tapi ikut mencicipi minuman keras saat perayaan juara.Jack Grealish dicekoki minuman keras saat pesta juara Manchester City. (Foto: Getty Images/Alex Livesey)Kisah lucu diungkapkan kiper Man City, Ederson Moraes. Dia menceritakan bagaimana Dias tidak kuat menenggak minuman keras dan 'jackpot' alias muntah!""Ada pemain yang tidak minum, tetapi membuat pengecualian, yang terjadi pada Ruben Dias, tetapi itu tidak berhasil untuknya,"" kata Ederson saat sesi konferensi pers bersama Timnas Brasil, dilansir dari Sky Sports.Baca juga: Jack Grealish di Pesta Man City: Mabuk, Mabuk, Mabuk[Gambas:Twitter]""Dua sloki dan dia memuntahkan semuanya... Anda mungkin tidak percaya, dia muntah di tas ibunya Jack Grealish,"" ujarnya sambil tertawa.Duh, ada-ada saja Ruben Dias!Baca juga: Saat Grealish yang Mabuk-mabukan Bikin Semua Pemain City Khawatir Simak Video ""Kemeriahan Parade Treble Winners Manchester City""
[Gambas:Video 20detik]
(bay/adp)


manchester city manchester city treble ruben dias jack grealish ederson moraes 

"
Jadwal Community Shield 2023: Manchester City Vs Arsenal,https://akcdn.detik.net.id/community/media/visual/2017/08/03/74d0ec17-610b-492e-b22c-035d4d03a1a4_43.jpg?w=250&q=,Manchester City menghadapi Arsenal pada pertandingan Community Shield 2023. Berikut ini jadwal pertandingannya.,https://sport.detik.com/sepakbola/liga-inggris/d-6777383/jadwal-community-shield-2023-manchester-city-vs-arsenal,"
London - Manchester City menghadapi Arsenal pada pertandingan Community Shield 2023. Berikut ini jadwal pertandingannya.Liga Inggris 2023/2024 dibuka dengan laga Community Shield. Pertandingan ini mempertemukan kampiun Premier League dengan jawara Piala FA.Manchester City akan tanding di Community Shield 2023 dengan status juara Premier League dan Piala FA. Lawan yang ditunjuk adalah Arsenal selaku runner-up Liga Inggris 2022/2023.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Man City di Ambang Dapatkan Mateo Kovacic dari ChelseaLaga Community Shield antara Manchester City vs Arsenal dijadwalkan pada Minggu 6 Agustus 2023. Stadion Wembley di London menjadi arena pertandingannya.Community Shield 2023 bertepatan dengan peringatan hari jadi ke-100 Stadion Wembley. Musim lalu, pertandingan Community Shield digelar di markas Leicester City, Stadion King Power.Manchester City dan Arsenal terakhir kali bertemu di Community Shied 2014. The Gunners kala itu mengangkat piala usai mengalahkan The Citizens 3-0.Arsenal sudah 16 kali menjadi juara Community Shied sepanjang sejarah, menyamai torehan Liverpool. Meriam London menjadi tim kedua yang paling banyak memenangkan kompetisi ini setelah Manchester United (21 kali).Baca juga: Kai Havertz Beri Lampu Hijau, Arsenal Kini Nego dengan Chelsea[Gambas:Twitter]Manchester City memenangkan Community Shield sebanyak 6 kali. The Sky Blues terakhir kali meraih trofi ini ada 2019.Community Shield 2023Manchester City vs Arsenal6 Agustus 2023Stadion Wembley.Baca juga: Usai Treble Bareng Man City, Rodri Bidik Trofi UEFA Nations League Simak Video ""Arsenal Gagal Juara Liga Inggris, Netizen: Kayak Jagain Jodoh Orang""
[Gambas:Video 20detik]
(bay/adp)


manchester city arsenal manchester city vs arsenal man city vs arsenal community shield community shield 2023 

"
Man City di Ambang Dapatkan Mateo Kovacic dari Chelsea,https://akcdn.detik.net.id/community/media/visual/2019/07/01/1f79badd-a754-4195-9dae-62a4571b1a68_43.png?w=250&q=,Mateo Kovacic segera menuju pintu keluar Chelsea. Manchester City dikabarkan sudah dekat mendapatkan Kovacic untuk musim depan.,https://sport.detik.com/sepakbola/liga-inggris/d-6777148/man-city-di-ambang-dapatkan-mateo-kovacic-dari-chelsea,"
Jakarta - Mateo Kovacic segera menuju pintu keluar Chelsea. Manchester City dikabarkan sudah dekat mendapatkan Kovacic untuk musim depan.City dan Chelsea sudah memulai negosiasi transfer gelandang Kroasia itu sejak akhir Mei. Pada beberapa hari terakhir, pembicaraan berlangsung lancar dan kedua klub telah menyepakati harga Kovacic serta perihal struktur pembayarannya.Sumber-sumber yang didapatkan ESPN menyebut, Chelsea setuju melego Kovacic ke Man City dengan kesepakatan yang mencapai 34,2 juta pound sterling (Rp 656,2 miliar). Perkara yang tinggal dibereskan tinggal persoalan uang muka transfer mantan pemain Real Madrid itu.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Chelsea Vs Liverpool Buka Liga Inggris Musim 2023/2024Chelsea sedang dalam tekanan untuk mendapatkan pemasukan melalui penjualan pemain sampai akhir bulan ini setelah menghabiskan sekitar 600 juta pound di era kepemilikan Todd Boehly.Transfer keluar yang diselesaikan sebelum 30 Juni akan jatuh di bawah tahun pajak penuh pertama dan oleh karenanya, hal itu akan membantu mengurangi kerugian sekaligus membantu terkait aturan Financial Fair Play UEFA.Baca juga: Klub Arab Saudi Incar Riyad Mahrez, Man City Buka PintuMeski ada urusan yang harus diselesaikan, kepindahan Mateo Kovacic ke Manchester City diyakini tidak akan terkendala. Sumber-sumber ESPN juga optimistis bahwa transfer itu akan rampung dalam dua pekan.""Manchester City sudah lebih dekat untuk menyelesaikan kesepakatan transfer Mateo Kovacic secepat mungkin. Kesepakatan pribadi 100% sudah terjalin, Kovacic menginginkan kepindahannya,"" ucap jurnalis top Fabrizio Romano.Mateo Kovacic sudah membuat 221 penampilan untuk Chelsea sejak dipinjam dari Real Madrid di 2018, lalu dipermanenkan semusim berikutnya. Kovacic mencetak enam gol dan memenangi Liga Champions, Liga Europa, Piala Super Eropa dan Piala Dunia Antarklub. Simak Video ""Manchester City Tekuk Chelsea 1-0 di Etihad Stadium""
[Gambas:Video 20detik]
(rin/mrp)


mateo kovacic manchester city chelsea liga inggris bursa transfer 

"
Malta Vs Inggris: Southgate Belum Tentu Turunkan Pemain Man City,https://akcdn.detik.net.id/community/media/visual/2023/06/16/jack-grealish_43.jpeg?w=250&q=,"Usai juara Liga Champions, para pemain Manchester City sudah gabung timnas Inggris jelang laga melawan Malta. Meski demikian, mereka belum tentu akan dimainkan.",https://sport.detik.com/sepakbola/bola-dunia/d-6776207/malta-vs-inggris-southgate-belum-tentu-turunkan-pemain-man-city,"
Jakarta - Usai juara Liga Champions, para pemain Manchester City sudah gabung timnas Inggris jelang laga melawan Malta. Meski demikian, mereka belum tentu akan dimainkan.Usai mengantar City juara Liga Champions, Jack Grealish, Phil Foden, Kyle Walker, John Stones, dan Kalvin Phillips gabung timnas jelang kualifikasi Euro 2024. Mereka baru gabung ke skuad pada hari Selasa (13/6) waktu setempat.Grealish menjadi sorotan dalam perayaan treble City. Pemain berusia 27 tahun itu terlihat merayakan kesuksesan City secara gila-gilaan dan terlihat mabuk-mabukan.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Saat Grealish yang Mabuk-mabukan Bikin Semua Pemain City KhawatirInggris sudah ditunggu Malta di kualifikasi Euro 2024, Sabtu (17/6) dini hari WIB. Melihat kondisi para pemain City, manajer Inggris Gareth Southgate mengonfirmasi bahwa mereka belum masuk ke dalam rencana untuk melawan Malta.""Ada (batas). Tapi kami tidak berencana untuk memasukkan pemain-pemain City untuk pertandingan (melawan Malta),"" ujar Southgate seperti dilansir Evening Standard.""Kami perlu memberi mereka waktu untuk menyerap semuanya. Tapi poin utamanya adalah mereka semua ingin ada di tim ini, itu luar biasa.""""Mereka perlu pemulihan, mereka butuh tidur, makan enak dan kami mau mereka siap. Saya sudah cukup punya bekal soal apa yang bisa membantu kami besok dan hari Senin (melawan Makedonia Utara) masih beberapa hari lagi. Kita lihat saja nanti apa yang kami dapat dari laga ini.""Baca juga: Man City Berpesta: Grealish Dugem, Haaland Isap Cerutu! (nds/mrp)


timnas inggris gareth southgate manchester city 

"
"Usai Treble Bareng Man City, Rodri Bidik Trofi UEFA Nations League",https://akcdn.detik.net.id/community/media/visual/2023/03/28/1476683704_43.jpeg?w=250&q=,Spanyol lolos ke final UEFA Nations League. Peluang Rodri menambah trofi terbuka lebar setelah sukses bersama Man City dengan tiga gelar musim ini.,https://sport.detik.com/sepakbola/detiktv/d-6775562/usai-treble-bareng-man-city-rodri-bidik-trofi-uefa-nations-league,"
Jakarta - Rodri menjadi man of the match dari laga Spanyol vs Italia di semifinal UEFA Nations League. El Matador menang 2-1.Selanjutnya, Spanyol akan menghadapi Kroasia di partai final. Peluang Rodri menambah trofi terbuka lebar setelah sukses bersama Man City dengan tiga gelar musim ini.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

 (/)


uefa nations league rodri spanyol 

"
